,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
acheln,14,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aschpes,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baldowern,5,2,3,,,3,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,
beganneft,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boker,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dibbern / diwwern,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goi,15,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kapores,14,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
lau,5,4,6,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
malochen,,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reibach / Rebbes,2,4,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schaskeln,15,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schawwes,15,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schicker / beschickert,9,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schmu,2,6,1,,,,,,4,1,1,,,,,,,,,,,,,,,,,,2,,,,,
Schores,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stuss,,2,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toches / Dokes,15,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tof,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zores,2,3,,4,,1,5,,,,,1,,,1,,,,,,,,,,,,,,,,,,,
