,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
acheln,45,1,13,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Aschpes,57,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baldowern,11,12,12,,,21,,,,,,2,2,,2,,,,2,,,,,,,,,,1,,,,,
beganneft,59,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boker,60,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dibbern / diwwern,49,5,,,,,,,,2,,,1,,,,,,,,,,1,1,1,1,,,,,,,,
Goi,39,5,,11,,,,,1,,,1,,,,,,2,1,1,,,2,,,,,,,,,,,
kapores,54,2,,5,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
lau,13,10,28,7,,,1,,,,,,,,1,1,1,2,,,,,,,,,,,,,,,,
malochen,2,4,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reibach / Rebbes,6,8,34,1,,1,4,,,1,,,,,1,,,8,1,,,1,,,,,,,,,,,,
schaskeln,51,5,1,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Schawwes,50,4,,5,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
schicker / beschickert,6,6,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schmu,8,10,12,,2,,4,2,11,4,3,2,,,,2,,,1,1,,1,,,2,,,,,,2,1,1,
Schores,37,14,,2,,,,,1,,,2,1,1,1,,,,,,1,1,,,,,,,,,,,,
Stuss,1,5,52,3,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Toches / Dokes,55,1,4,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
tof,58,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zores,3,5,2,26,,5,15,2,2,,1,5,,1,6,1,,,1,,,2,,1,1,,,,,,,,,
