,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
acheln,44,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aschpes,43,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baldowern,16,9,3,,,8,,2,,3,,1,3,,1,1,,,3,,,,1,1,,,,,,,,1,,
beganneft,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boker,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dibbern / diwwern,42,3,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,
Goi,42,1,3,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
kapores,41,3,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
lau,9,8,16,9,,,,,,,,,1,,,,5,,,,1,,,,,,,,,,,,,
malochen,3,5,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reibach / Rebbes,12,12,18,1,,,1,,,,,,2,,,,,1,,,,,,,,,,,,,,,,
schaskeln,46,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schawwes,40,1,1,,,1,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,
schicker / beschickert,22,4,18,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schmu,7,13,10,1,,,2,1,10,4,,,,,,,,,,,,,,,1,,,,1,,,,,
Schores,40,5,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Stuss,,8,38,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toches / Dokes,41,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tof,46,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zores,5,8,,7,,15,10,1,,,,2,1,,1,,,,1,,,2,,,1,,,,,,,,,
