,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
acheln,216,5,13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aschpes,225,3,2,4,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
baldowern,82,55,24,4,5,32,1,6,1,13,2,5,6,1,1,1,1,1,3,1,1,1,,,,,,,,,,5,,
beganneft,225,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boker,227,,2,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dibbern / diwwern,194,14,5,1,1,3,1,1,1,5,1,1,1,2,2,1,1,,,,,,,,,,,,,,,,,
Goi,196,2,1,12,1,1,9,3,2,2,1,1,2,1,1,,,,,,1,1,,,,,,,,,,,,
kapores,187,14,5,26,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lau,66,50,63,38,1,1,3,1,1,1,1,1,,,1,,13,2,,1,,1,1,,,,,,,,,,,
malochen,25,40,168,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reibach / Rebbes,62,45,88,2,1,1,10,1,4,1,1,,2,,,,,23,2,1,,1,,,,,,,,,,,,
schaskeln,220,3,9,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schawwes,209,7,3,9,1,1,1,,1,,,3,2,,,,,,,,,,,,,,,,,,,,,
schicker / beschickert,124,22,80,3,6,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Schmu,62,54,34,8,3,2,9,5,36,13,4,2,2,3,,2,,,,,,1,2,3,3,1,3,1,,,,,,
Schores,192,32,1,2,2,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,
Stuss,9,43,178,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toches / Dokes,187,2,42,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
tof,215,4,10,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zores,23,54,2,42,4,53,46,3,1,,,14,8,3,5,1,1,1,1,1,1,,,,2,,,,,,,,,
