,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
acheln,46,,2,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aschpes,45,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baldowern,11,10,6,1,,11,,,,3,,1,1,,,,,,1,,,,,1,,,1,,,,,3,1,
beganneft,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boker,48,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dibbern / diwwern,42,2,,,,,,,,,2,,,1,,,,,,,1,1,,,,,,,,,,,,
Goi,45,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kapores,40,4,3,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
lau,4,9,26,6,,,2,,1,2,,,,,1,,4,,,,,,,,,,,,,,,,,
malochen,,2,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reibach / Rebbes,5,8,18,,,,6,,,,,,1,1,1,1,,9,,,,,,,,,,,,,,,,
schaskeln,48,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schawwes,45,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schicker / beschickert,15,3,26,4,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Schmu,4,12,10,,1,,,1,10,3,3,2,2,,,,1,1,,,,1,,,,,1,,,,,,,
Schores,38,8,,2,,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,
Stuss,,5,43,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toches / Dokes,37,2,1,8,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
tof,45,1,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,
Zores,2,9,,8,1,3,20,1,,,,7,2,1,4,,,,1,1,,,,,,,,,,,,,,
