,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
acheln,140,4,15,2,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,
Aschpes,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baldowern,40,43,25,1,,25,,1,1,3,,2,4,,,,,1,7,,,,,,,,,,,1,1,9,5,1
beganneft,158,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boker,160,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
dibbern / diwwern,151,4,,,,,,,,2,,,,1,,,,1,,,2,2,,,,,,,,,,,,
Goi,148,4,1,7,,,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,
kapores,138,7,3,13,,,3,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
lau,42,30,58,22,,,1,,,,,,,1,,1,11,1,1,,,,,,,,,,,,,,,
malochen,5,15,140,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reibach / Rebbes,23,29,75,,,1,8,,,,,,1,,2,4,2,24,1,,,1,,,,,,,,,,,,
schaskeln,151,5,3,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Schawwes,148,5,2,4,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,
schicker / beschickert,60,15,81,2,4,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Schmu,21,47,30,1,3,,5,1,21,10,2,,2,,,3,,,,,1,5,1,2,1,1,6,,,,4,,,1
Schores,138,11,,1,,,,,1,,,,,,,2,4,2,1,,,,1,1,,,,,,,,,,
Stuss,6,20,135,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toches / Dokes,146,2,6,4,,2,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
tof,157,1,2,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
Zores,24,31,3,32,1,15,43,2,,,,10,3,4,6,,,,2,,1,2,,,,1,3,2,,,,,,
