,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
acheln,27,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aschpes,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baldowern,7,6,4,1,,6,,1,,1,,1,5,,,,,,,,,,,,,1,,,,,,,,
beganneft,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boker,29,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
dibbern / diwwern,25,4,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,
Goi,27,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kapores,25,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lau,7,6,15,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
malochen,,3,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reibach / Rebbes,5,4,12,,,,1,,,1,,,,,,1,,6,,,,1,,,,,,,,,,,,
schaskeln,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schawwes,28,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schicker / beschickert,10,3,17,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,
Schmu,4,7,5,,,,,,7,1,,2,,,,1,,,,,,,,1,1,,2,,1,,2,1,,
Schores,24,4,,1,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
Stuss,1,4,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toches / Dokes,25,1,3,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
tof,29,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Zores,4,6,,6,,3,9,2,,,,1,,2,,,,,,,,1,,1,,1,,,,,,,,
