,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
acheln,54,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aschpes,54,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
baldowern,12,14,9,,,11,1,,,2,,1,3,,2,,,,2,,,,,,1,,,,,,,,,
beganneft,54,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boker,54,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dibbern / diwwern,50,3,,,,,,,,1,,,,,1,,,,1,2,,,,,,,,,,,,,,
Goi,39,2,,9,,,2,,,,,1,,,1,,1,,,,,,3,,,,,,,,,,,
kapores,47,5,2,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
lau,9,9,22,10,1,,,,1,,,,,1,,,7,1,,1,,,,,,,,,,,,,,
malochen,2,7,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reibach / Rebbes,10,7,28,1,,,7,,,,,1,,,,,1,4,2,,,,,,,,,,,,,,,
schaskeln,54,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schawwes,46,5,,3,,,,2,2,1,,,1,,,,,,,,,,,,,,,,,,,,,
schicker / beschickert,22,5,28,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schmu,13,9,12,,2,1,,1,11,2,,,,1,1,,,,,,,,,1,3,,,1,2,1,,,,
Schores,48,6,,,,,,,,1,1,,,,,,,,1,,,,,,,,,,,,,,,
Stuss,1,9,46,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toches / Dokes,53,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tof,51,1,3,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Zores,16,9,,12,4,4,11,2,,1,,1,,,,,1,,,1,,,1,1,,,,,,,,,,
