;Zeitstempel;Wie alt sind Sie?;In welchem Gebiet leben Sie aktuell (in etwa)?;Aus welchem Gebiet stammen Sie (in etwa)?;acheln;Aschpes;baldowern;beganneft;Boker;dibbern / diwwern;Goi;kapores;lau;lugen / louen ;malochen;Reibach / Rebbes;schaskeln;Schawwes;schicker / beschickert;Schmu;Schores;Stuss;Toches / Dokes;tof;weisen ;Zores;Woher kennen Sie die Wörter? (Mehrfachnennung möglich);Wussten Sie, dass diese Wörter aus dem Jiddischen stammen?
Saarlouis;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Saarlouis;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2020/09/07 10:03:21 AM OEZ;15 - 30 Jahre;Saarlouis;Saarlouis;0;0;1;0;0;0;0;0;0;Schauen;2;1;0;0;0;1;1;2;0;0;Zeigen;2;"1;2";bei keinen
;2020/09/07 10:15:50 AM OEZ;15 - 30 Jahre;Saarlouis;Saarlouis;0;0;0;0;0;0;0;0;0;schauen/gucken;2;1;0;0;0;0;0;2;0;0;;3;2;bei keinen
;2020/09/07 10:21:29 AM OEZ;15 - 30 Jahre;Saarlouis;Saarlouis;0;0;0;0;0;0;0;0;1;Schauen;1;0;0;0;0;0;0;2;0;0;;0;2;bei keinen
;2020/09/07 10:34:28 AM OEZ;15 - 30 Jahre;Saarlouis;Saarlouis;0;0;2;0;0;0;0;0;1;;2;2;0;0;0;1;0;2;0;0;1;6;"1;2";bei keinen
;2020/09/07 10:41:49 AM OEZ;15 - 30 Jahre;Saarlouis;Saarlouis;0;0;1;0;0;0;0;0;1 ;schauen;1;0;0;0;1;1;0;1;0;0;zeigen ;1;"3;1;2";bei keinen
;2020/09/07 10:47:56 AM OEZ;15 - 30 Jahre;Saarlouis;Saarlouis;0;0;0;0;0;0;0;0;1;;2;1;0;0;0;0;0;1;0;0;;1;1;bei keinen
;2020/09/07 10:55:24 AM OEZ;15 - 30 Jahre;Saarlouis;Saarlouis;0;0;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;1;0;0;;0;"3;1;2";bei keinen
;2020/09/07 11:00:48 AM OEZ;15 - 30 Jahre;Saarlouis;Saarlouis;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;1;0;2;bei keinen
;2020/09/07 11:05:17 AM OEZ;15 - 30 Jahre;Saarlouis;Saarlouis;0;0;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;1;0;0;;0;"3;1;2";bei keinen
;2020/09/07 11:36:41 AM OEZ;15 - 30 Jahre;Saarlouis;Saarlouis;0;0;0;0;0;0;0;0;2;mal schauen;0;0;0;0;0;2;0;2;0;0;zeigen;1 ;"3;1;2";bei keinen
;2020/09/07 11:37:44 AM OEZ;15 - 30 Jahre;Saarlouis;Saarlouis;0;0;0;0;0;0;0;0;3;schauen/sehen;2;0;0;0;0;2;0;2;0;0;;0;"3;1";bei keinen
;2020/09/07 11:38:37 AM OEZ;15 - 30 Jahre;Saarlouis;Saarlouis;0;0;0;0;0;0;0;0;0;Schauen;0;0;0;0;2;0;0;2;0;0;;4;1;bei keinen
;2020/09/07 11:39:02 AM OEZ;15 - 30 Jahre;Saarlouis;Saarlouis;0;0;0;0;0;0;0;0;0;Schauen , gucken ;2;0;0;0;2;0;0;2;0;0;Zeigen;6;1;bei keinen
;2020/09/07 11:39:55 AM OEZ;15 - 30 Jahre;Saarlouis;Saarlouis;0;0;0;0;0;0;0;0;0;Schauen;2;2, 6;0;0;0;0;0;2;0;0;;5;3;bei keinen
;2020/09/07 11:48:38 AM OEZ;15 - 30 Jahre;Saarlouis;Saarlouis;1;0;0;0;0;0;0;2;2;Schauen;0;0;0;2 ;0;0;1;2;0;0;Zeigen;1;1;bei keinen
;2020/09/07 12:13:49 PM OEZ;15 - 30 Jahre;Saarlouis;Saarlouis;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;1;0;2;bei keinen
;2020/09/07 12:20:06 PM OEZ;15 - 30 Jahre;Saarlouis;Saarlouis;0;0;0;0;0;0;0;0;0;schauen;1;0;0;0;0;0;0;0;0;0;;1;1;bei keinen
;2020/09/07 12:23:39 PM OEZ;15 - 30 Jahre;Saarlouis;Saarlouis;0;0;2;0;0;0;0;0;3;1 Bedeutung: schauen bzw Sehen;2;2;0;0;0;1 ;2;2;2;0;etwas erklären;6;"3;1;2";bei keinen
;2020/09/07 12:24:18 PM OEZ;15 - 30 Jahre;Saarlouis;Saarlouis;0;1;0;0;0;0;0;0;3;schauen/gucken;2;2;0;0;2;0;1;2;0;0;zeigen;3, 11;"3;1";bei keinen
;2020/09/07 12:53:37 PM OEZ;15 - 30 Jahre;Saarlouis;Saarlouis;0;0;1;0;0;0;0;0;0;schauen;2;17;0;0;0;3;0;2;0;0;1;4;"3;2";bei keinen
;2020/09/07 12:55:45 PM OEZ;15 - 30 Jahre;Saarlouis;Saarlouis;0;0;0;0;0;0;0;0;0;;0;0;0;0;1;0;0;1;0;0;;0;1;bei keinen
;2020/09/07 12:57:22 PM OEZ;15 - 30 Jahre;Saarlouis;Saarlouis;0;0;1;0;0;0;0;0;1;Schauen;0;0;0;0;0;1;0;2;0;0;;0;"1;2";bei keinen
;2020/09/07 1:05:06 PM OEZ;15 - 30 Jahre;Saarlouis;Saarlouis;0;0;0;0;0;0;0;0;3;;2;0;0;0;0;0;0;2;0;0;;0;2;bei keinen
;2020/09/07 1:34:50 PM OEZ;15 - 30 Jahre;Saarlouis;Saarlouis;0;0;1;0;0;0;0;0;0;1;1;1 ;0;0;0;1 ;0;1 ;0;0;1 ;1 ;"1;2";bei keinen
;2020/09/07 1:37:14 PM OEZ;15 - 30 Jahre;Saarlouis;Saarlouis;1;0;0;0;0;0;0;2;2;Schauen;0;0;0;2 ;0;0;1;2;0;0;Zeigen;1;1;bei keinen
;2020/09/07 1:43:09 PM OEZ;15 - 30 Jahre;Saarlouis;Saarlouis;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;1;1;0;0;1;1;"3;1;2";bei keinen
;2020/09/07 2:08:08 PM OEZ;15 - 30 Jahre;Saarlouis;Saarlouis;0;0;0;0;0;0;0;0;3;Schauen;1;0;0;0;0;0;0;2;0;0;;3;1;bei keinen
;2020/09/07 2:55:54 PM OEZ;15 - 30 Jahre;Saarlouis;Saarlouis;0;0;0;0;0;0;0;0;3;;2;2;0;0;0;0;0;2;0;0;;5;"3;1;2";bei keinen
;2020/09/07 3:06:57 PM OEZ;15 - 30 Jahre;Saarlouis;Saarlouis;0;0;0;0;0;0;2;0;0;Kucken;2;2;0;0;2;2;0;2;0;0;;6;"3;1";bei keinen
;2020/09/07 3:18:58 PM OEZ;15 - 30 Jahre;Saarlouis;Saarlouis;0;0;1;0;0;0;0;0;2;;0;0;0;0;0;0;1;2;0;0;;13;"1;2";bei keinen
;2020/09/07 3:29:05 PM OEZ;15 - 30 Jahre;Saarlouis;Saarlouis;0;0;1;0;0;2;0;0;3;schau mal;1 ;0;0;0;1 ;1 ;0;2;2;0;Weis mo- Zeig mal ;3;"3;1;2";bei keinen
;2020/09/07 3:33:31 PM OEZ;15 - 30 Jahre;Saarlouis;Saarlouis;0;0;1;0;0;0;0;0;1;1;1;0;0;0;0;1;0;1;0;0;1;1;"3;1";bei keinen
;2020/09/07 4:57:24 PM OEZ;15 - 30 Jahre;Saarlouis;Saarlouis;0;0;0;0;0;0;0;0;1;;1;0;0;0;0;0;0;2;0;0;1;1 ;"3;1";bei keinen
;2020/09/07 5:20:50 PM OEZ;15 - 30 Jahre;Saarlouis;Saarlouis;0;0;0;0;0;0;0;0;1 ;1 ;2;1 ;1 ;0;1 ;1 ;0;1 ;0;0;1 ;1 ;"3;1";bei keinen
;2020/09/07 7:18:51 PM OEZ;15 - 30 Jahre;Saarlouis;Saarlouis;0;1;0;0;0;0;0;0;3;schauen/gucken;2;2;0;0;2;0;1;2;0;0;zeigen;3, 11;"3;1";bei keinen
;2020/09/07 7:21:48 PM OEZ;15 - 30 Jahre;Saarlouis;Saarlouis;0;0;1;0;0;0;0;0;3;sehen;2;1;0;0;0;1;1;2;0;0;Jemandem etwas weisen;6;"3;1;2";bei keinen
;2020/09/07 8:13:56 PM OEZ;15 - 30 Jahre;Saarlouis;Saarlouis;0;0;1;0;0;1;0;0;0;Schauen;1;0;0;0;0;1;1 ;1;0;0;1;1;3;bei keinen
