,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
acheln,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aschpes,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baldowern,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beganneft,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boker,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dibbern / diwwern,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goi,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kapores,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lau,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
malochen,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reibach / Rebbes,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schaskeln,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Schawwes,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schicker / beschickert,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schmu,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Schores,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stuss,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toches / Dokes,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tof,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zores,,1,,1,,1,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,
