,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
acheln,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aschpes,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baldowern,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beganneft,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boker,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dibbern / diwwern,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goi,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kapores,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lau,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
malochen,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reibach / Rebbes,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schaskeln,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schawwes,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schicker / beschickert,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schmu,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schores,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stuss,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toches / Dokes,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tof,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zores,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
