,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
acheln,29,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aschpes,27,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baldowern,10,7,1,,,3,,2,,3,,1,3,,,,,,3,,,,1,,,,,,,,,,,
beganneft,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boker,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dibbern / diwwern,29,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Goi,28,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
kapores,26,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lau,6,5,11,7,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
malochen,1,4,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reibach / Rebbes,7,9,13,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,
schaskeln,30,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schawwes,27,,,,,1,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,
schicker / beschickert,17,3,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schmu,5,8,7,1,,,1,,6,3,,,,,,,,,,,,,,,1,,,,1,,,,,
Schores,27,3,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Stuss,,6,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toches / Dokes,30,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tof,30,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zores,3,7,,5,,8,6,1,,,,1,1,,1,,,,1,,,2,,,1,,,,,,,,,
