,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
acheln,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aschpes,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baldowern,5,1,1,,,11,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,
beganneft,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boker,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dibbern / diwwern,8,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Goi,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kapores,9,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
lau,2,3,2,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
malochen,1,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reibach / Rebbes,3,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schaskeln,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schawwes,8,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
schicker / beschickert,4,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schmu,1,4,3,,,,1,,10,,,,,,,,,,,,,,,,,,,,,,,,,
Schores,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stuss,,1,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toches / Dokes,6,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tof,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zores,2,,,1,,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
