,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
acheln,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aschpes,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baldowern,1,1,1,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
beganneft,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boker,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dibbern / diwwern,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goi,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kapores,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lau,1,,3,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,
malochen,1,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reibach / Rebbes,2,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
schaskeln,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schawwes,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schicker / beschickert,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schmu,1,1,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
Schores,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stuss,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toches / Dokes,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tof,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zores,,1,,1,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
