,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
acheln,9,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aschpes,9,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baldowern,1,,1,3,,4,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,
beganneft,9,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boker,9,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dibbern / diwwern,9,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Goi,8,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
kapores,6,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lau,,4,4,1,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
malochen,,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reibach / Rebbes,1,,6,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
schaskeln,9,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schawwes,9,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,
schicker / beschickert,5,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schmu,,1,3,1,,,,1,3,,,1,,,,,,,,,,,,,,,,,,,,,,
Schores,8,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Stuss,1,,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toches / Dokes,9,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tof,9,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zores,,1,,4,,2,8,,,,,,3,,,,,,,,,,,,,,,,,,,,,
