,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
acheln,185,5,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aschpes,195,2,1,4,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
baldowern,75,46,20,1,8,36,,16,1,50,11,24,28,1,1,1,1,1,37,1,1,1,,,,,,,,,,34,,
beganneft,194,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boker,196,,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dibbern / diwwern,166,11,4,1,1,3,,1,1,4,1,1,1,2,2,1,,,,,,,,,,,,,,,,,,
Goi,169,2,1,10,1,,18,9,9,2,1,1,2,1,1,,,,,,1,,,,,,,,,,,,,
kapores,161,13,5,22,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lau,62,39,52,41,1,,2,,,,1,1,,,1,,38,18,,1,,1,1,,,,,,,,,,,
malochen,22,33,139,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reibach / Rebbes,56,36,75,4,,,26,1,1,1,1,,1,,,,,83,2,1,,1,,,,,,,,,,,,
schaskeln,189,3,7,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schawwes,181,4,4,9,1,1,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,
schicker / beschickert,112,17,53,2,7,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Schmu,54,44,26,11,5,,14,15,49,51,13,1,1,15,,16,,,,,,1,,25,2,1,27,1,,,,,,
Schores,168,23,1,1,2,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Stuss,8,34,132,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toches / Dokes,159,2,36,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
tof,184,4,7,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zores,22,42,3,40,10,55,48,8,1,,,39,14,2,16,1,1,1,1,1,1,,,,25,,,,,,,,,
