,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
acheln,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aschpes,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baldowern,,1,1,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
beganneft,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boker,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dibbern / diwwern,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goi,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kapores,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lau,,,4,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
malochen,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reibach / Rebbes,1,,4,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
schaskeln,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schawwes,2,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schicker / beschickert,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schmu,1,,,,,1,,,1,,,,,,,,,,,,,,1,,1,,,,,,,,,
Schores,2,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stuss,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toches / Dokes,2,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tof,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zores,,,,5,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,
