,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
acheln,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aschpes,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baldowern,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beganneft,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boker,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dibbern / diwwern,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Goi,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
kapores,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lau,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
malochen,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reibach / Rebbes,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schaskeln,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schawwes,1,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,
schicker / beschickert,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schmu,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Schores,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Stuss,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toches / Dokes,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tof,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zores,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
