,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
acheln,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aschpes,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baldowern,3,3,3,,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
beganneft,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boker,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dibbern / diwwern,10,2,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goi,12,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kapores,13,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lau,2,4,5,1,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,
malochen,2,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reibach / Rebbes,2,3,4,,1,1,,,,,,,1,,,,,4,,,,,,,,,,,,,,,,
schaskeln,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schawwes,12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schicker / beschickert,4,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schmu,5,1,4,,1,1,,1,2,,,,1,,,,,,,,,,,,,,1,,,,,,,
Schores,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stuss,,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toches / Dokes,12,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tof,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zores,,2,,1,,3,6,,,,,2,2,1,1,,,,,,,,,,,,,,,,,,,
