,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
acheln,35,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aschpes,35,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baldowern,10,8,3,1,,11,,,,11,,,1,,,,,,1,,,,,1,,,1,,,,,32,1,
beganneft,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boker,36,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dibbern / diwwern,31,1,,,,,,,,,2,,,1,,,,,,,1,1,,,,,,,,,,,,
Goi,34,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kapores,31,2,3,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
lau,2,8,21,5,,,2,,1,1,,,,,1,,18,,,,,,,,,,,,,,,,,
malochen,,2,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reibach / Rebbes,5,6,15,,,,3,,,,,,1,,,1,,23,,,,,,,,,,,,,,,,
schaskeln,36,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schawwes,34,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schicker / beschickert,12,3,16,6,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Schmu,4,9,8,,1,,,,14,3,2,2,1,,,,1,1,,,,1,,,,,1,,,,,,,
Schores,28,6,,2,,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,
Stuss,,3,32,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toches / Dokes,26,1,1,8,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
tof,33,1,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,
Zores,2,6,,10,,11,30,1,,,,46,13,1,29,,,,1,,,,,,,,,,,,,,,
