,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
acheln,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aschpes,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baldowern,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beganneft,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boker,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dibbern / diwwern,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goi,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kapores,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lau,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
malochen,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reibach / Rebbes,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schaskeln,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schawwes,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schicker / beschickert,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schmu,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schores,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stuss,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toches / Dokes,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tof,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zores,,,,,1,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,
