,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
acheln,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aschpes,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baldowern,4,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
beganneft,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boker,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dibbern / diwwern,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goi,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kapores,6,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
lau,3,1,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
malochen,,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reibach / Rebbes,1,2,4,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
schaskeln,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schawwes,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schicker / beschickert,4,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schmu,2,3,3,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Schores,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stuss,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toches / Dokes,5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tof,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zores,1,2,,4,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
