,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
acheln,114,4,9,2,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,
Aschpes,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baldowern,32,38,16,1,,19,,1,1,3,,2,3,,,,,,7,,,,,,,,,,,1,1,7,4,1
beganneft,126,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boker,128,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
dibbern / diwwern,119,4,,,,,,,,2,,,,1,,,,1,,,2,2,,,,,,,,,,,,
Goi,120,2,1,5,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,
kapores,110,6,3,10,,,2,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
lau,31,24,47,20,,,1,,,,,,,1,,1,9,,1,,,,,,,,,,,,,,,
malochen,5,13,110,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reibach / Rebbes,19,24,59,,,1,7,,,,,,,,2,4,2,19,1,,,1,,,,,,,,,,,,
schaskeln,119,5,3,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Schawwes,119,4,2,3,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
schicker / beschickert,50,14,62,2,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Schmu,17,38,21,1,2,,5,1,19,7,1,,1,,,3,,,,,,5,1,1,1,,5,,,,4,,,1
Schores,111,7,,1,,,,,1,,,,,,,1,4,2,1,,,,1,1,,,,,,,,,,
Stuss,5,18,106,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toches / Dokes,119,1,4,3,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
tof,126,1,2,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Zores,22,25,2,24,1,12,33,2,,,,8,3,3,5,,,,2,,1,1,,,,1,2,2,,,,,,
