,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
acheln,16,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aschpes,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baldowern,3,4,5,,,8,,,,,,,1,,,,,1,,,,,,,,,,,,,,32,,
beganneft,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boker,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dibbern / diwwern,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goi,16,2,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
kapores,17,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lau,8,4,5,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
malochen,,1,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reibach / Rebbes,3,2,10,,,,1,,,,,,1,,,,,2,,,,,,,,,,,,,,,,
schaskeln,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schawwes,17,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
schicker / beschickert,6,1,11,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schmu,2,4,6,,1,,,,1,3,,,,,,,,,,,1,,,1,,,1,,,,,,,
Schores,15,3,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Stuss,,1,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toches / Dokes,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tof,18,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Zores,1,4,1,7,,6,21,,,,,1,,1,1,,,,,,,1,,,,,1,,,,,,,
