,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
acheln,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aschpes,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baldowern,1,2,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
beganneft,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boker,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dibbern / diwwern,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goi,2,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kapores,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lau,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
malochen,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reibach / Rebbes,,1,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
schaskeln,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schawwes,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schicker / beschickert,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schmu,1,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Schores,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stuss,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toches / Dokes,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tof,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zores,,1,,1,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,
