,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
acheln,14,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aschpes,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baldowern,4,2,3,,,4,,,,,,,2,,,,,,,,,,,,,1,,,,,,,,
beganneft,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boker,14,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
dibbern / diwwern,11,3,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,
Goi,14,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kapores,13,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lau,4,3,6,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
malochen,,2,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reibach / Rebbes,4,1,6,,,,1,,,,,,,,,1,,3,,,,,,,,,,,,,,,,
schaskeln,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schawwes,14,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schicker / beschickert,6,1,9,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Schmu,2,3,4,,,,,,4,1,,1,,,,,,,,,,,,,1,,1,,1,,1,,,
Schores,11,3,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
Stuss,,2,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toches / Dokes,13,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
tof,14,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Zores,2,3,,2,,3,4,1,,,,,,1,,,,,,,,1,,1,,1,,,,,,,,
