,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
acheln,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aschpes,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baldowern,3,,1,,,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
beganneft,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boker,6,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dibbern / diwwern,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goi,6,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
kapores,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lau,3,,2,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
malochen,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reibach / Rebbes,,1,3,1,,,,,,,,1,,,,,,1,1,,,,,,,,,,,,,,,
schaskeln,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schawwes,4,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
schicker / beschickert,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schmu,3,,,,1,,,,1,,,,,,,,,,,,,,,,1,,,,1,,,,,
Schores,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stuss,,1,5,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toches / Dokes,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tof,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zores,1,1,,1,2,,3,,,,,1,,,,,,,,,,,,,,,,,,,,,,
