,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
acheln,9,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aschpes,8,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
baldowern,2,1,2,,,4,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,
beganneft,10,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boker,10,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dibbern / diwwern,8,,,,,,,,,1,,,,,1,,,,1,1,,,,,,,,,,,,,,
Goi,4,,,2,,,2,,,,,,,,1,,,,,,,,2,,,,,,,,,,,
kapores,8,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
lau,1,,8,5,,,,,1,,,,,1,,,1,,,1,,,,,,,,,,,,,,
malochen,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reibach / Rebbes,1,,10,,,,7,,,,,,,,,,,1,1,,,,,,,,,,,,,,,
schaskeln,9,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schawwes,8,1,,1,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,
schicker / beschickert,1,,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schmu,3,,3,,,,,1,2,1,,,,1,,,,,,,,,,,,,,1,,,,,,
Schores,10,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Stuss,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toches / Dokes,8,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tof,9,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zores,1,,,8,1,6,9,8,,,,,,,,,,,,,,,,,,,,,,,,,,
