,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
acheln,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aschpes,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baldowern,2,4,4,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beganneft,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boker,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dibbern / diwwern,10,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
Goi,9,,,3,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
kapores,9,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lau,,3,6,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
malochen,,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reibach / Rebbes,3,2,5,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
schaskeln,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schawwes,10,,,2,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
schicker / beschickert,5,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schmu,3,2,4,,,,,,2,1,,,,,,,,,,,,,,,,,,,,1,,,,
Schores,9,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Stuss,,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toches / Dokes,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tof,11,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zores,4,2,,4,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,
