,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
acheln,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aschpes,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baldowern,2,5,1,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,
beganneft,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boker,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dibbern / diwwern,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goi,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kapores,8,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lau,2,3,4,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
malochen,1,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reibach / Rebbes,3,3,3,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
schaskeln,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schawwes,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schicker / beschickert,4,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schmu,2,3,3,,1,1,,,9,,,,,,,,,,,,,,,,,,,,1,,,,,
Schores,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stuss,1,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toches / Dokes,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tof,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zores,4,4,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
