,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
acheln,15,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aschpes,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baldowern,3,4,1,,,7,1,,,,,,1,,2,,,,19,,,,,,,,,,,,,,,
beganneft,15,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boker,15,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dibbern / diwwern,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goi,10,1,,4,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
kapores,14,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
lau,3,3,5,6,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,
malochen,1,3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reibach / Rebbes,3,1,10,,,,8,,,,,,,,,,1,1,,,,,,,,,,,,,,,,
schaskeln,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schawwes,14,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
schicker / beschickert,10,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schmu,2,4,3,,,,,,4,,,,,,1,,,,,,,,,1,1,,,,,,,,,
Schores,14,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Stuss,,3,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toches / Dokes,15,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tof,13,1,3,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Zores,6,1,,3,1,2,,,,1,,,,,,,,,,,,,1,1,,,,,,,,,,
