,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
acheln,586,13,51,5,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
Aschpes,633,15,2,5,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
baldowern,184,151,86,7,5,117,2,10,2,25,2,13,24,1,6,2,1,2,18,1,1,1,1,2,1,1,1,1,1,1,1,20,6,1
beganneft,639,6,8,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boker,641,2,5,2,3,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,
dibbern / diwwern,569,35,5,1,1,3,1,1,1,10,4,1,2,5,3,1,1,2,1,2,4,3,1,1,1,1,,,,,,,,
Goi,551,17,5,45,1,1,11,3,3,2,1,3,2,1,2,1,1,2,1,2,1,1,7,,,,,,,,,,,
kapores,546,37,15,51,4,1,4,1,1,1,3,1,,,,,,,,,,,,,,,,,,,,,,
lau,155,126,234,95,3,1,8,1,3,3,1,1,1,2,3,2,41,6,1,2,1,1,1,,,,,,,,,,,
malochen,37,77,540,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reibach / Rebbes,125,117,283,5,1,3,37,1,4,3,1,1,6,1,4,6,3,75,6,1,,4,,,,,,,,,,,,
schaskeln,616,14,15,6,1,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
Schawwes,581,27,6,24,1,4,1,7,4,2,1,3,3,,,,,,,,,,,,,,,,,,,,,
schicker / beschickert,268,59,305,14,11,1,1,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
Schmu,121,158,114,10,11,3,20,11,110,38,13,8,6,4,1,8,1,1,1,1,1,8,3,7,11,2,12,2,6,1,8,2,1,1
Schores,533,80,2,8,2,2,1,2,4,1,1,3,1,1,1,2,4,2,4,1,1,1,1,1,,,,,,,,,,
Stuss,18,96,532,10,1,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Toches / Dokes,559,9,66,13,1,3,1,1,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,
tof,617,10,16,5,1,1,2,2,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,
Zores,79,125,7,137,10,99,159,13,3,1,1,41,14,11,23,2,2,1,6,3,2,7,1,3,4,2,3,2,,,,,,
